S,K,ST,KA,KASJS
30.63,63.01,23,44,43
32.77,59.69,23,43,42
30.52,61.93,24,42,42
30.12,60.76,24,42,44
29.29,60.06,23,44,44
27.53,60.01,23,44,42
26.96,59.58,22,42,42
26.85,59.3,21.5,42,42
26.74,59.02,21,42,42
26.71,58.99,21,42,42
26.71,58.99,21,42,42.5
26.01,61.04,20.5,42.5,43
25.3,63.1,20,43,42.5
24.9,63.12,19.5,42.5,42
24.51,63.13,19,42,42
24.58,59.76,19,42,41
24.69,59.54,18,41,41
24.73,59.34,18,41,41
24.77,59.14,18,41,42
28.64,54.61,18.5,42,43
32.51,50.08,19,43,42
32.93,49.43,19,42,42
31.73,48.3,23,42,44
33.29,45.61,23,44,45
33.68,46.25,24,45,43
35.01,43.42,24,43,54.5
33.42,44.68,24,54.5,66
31.82,45.93,24,66,66
31.82,45.93,24,66,62
27.3,53.03,23,62,62
27.3,53.03,23,62,64
25.37,56.08,22,64,60
24.31,56.08,20,60,59
24.26,56.11,20,59,61
22.19,56.52,19,61,57.5
21.08,56.3,18,57.5,54
19.98,56.08,17,54,56
19.9,56.02,16,56,57
19.44,55.89,15,57,54
18.81,56.15,14,54,50
18.48,56.14,14,50,52
18.31,56.04,13,52,51
18.23,57.3,13,51,52
23.09,54.75,13,52,52
29.87,49.02,14,52,53.67
31.81,45.28,16.67,53.67,55.34
33.74,41.54,19.34,55.34,57
35.68,37.79,22,57,57
33.44,41.83,22,57,59
33.58,43.24,23,59,59
32.18,43.18,24,59,55
30.37,45.23,24,55,58
30.81,44.53,24,58,52
25.34,53.49,23,52,53
25.21,52.92,22,53,51
23.09,57.01,21,51,51
23.69,54.8,20,51,49
21.67,58.12,19,49,48
21.15,55.47,18,48,49
21.64,57.18,17.5,49,50
22.14,58.89,17,50,49
22.49,57.72,16.5,49,48
22.84,56.54,16,48,47
22.99,56.64,16,47,49
22.04,56.87,16,49,49
22.07,56.82,16,49,48
23.62,57.19,16,48,47
25.14,56.3,16,47,47.5
27.69,52.6,17,47.5,48
30.24,48.91,18,48,49
35.54,42.7,20,49,50
31.61,49.3,22,50,50
33.41,47.07,22,50,54
27.79,61.6,23,54,54
27.79,61.6,23,54,50
27.81,64.15,22,50,51
27.44,63.12,22,51,49
26.48,63.35,21,49,49
26.48,63.35,21,49,48
25.44,64.27,20,48,47
24.41,65.19,19,47,47.5
24.58,64.4,18.5,47.5,48
24.74,63.62,18,48,47.5
24.2,63.51,18,47.5,47
23.67,63.4,18,47,47
24.03,62.94,17,47,47
23.97,62.68,17,47,47
23.91,62.42,17,47,47
23.86,62.16,17,47,47
23.8,61.91,17,47,46.5
24.81,60.72,17,46.5,46
25.82,59.53,17,46,47.5
27.8,56.98,17,47.5,49
29.77,54.44,17,49,49
29.77,54.44,17,49,49
29.77,54.44,17,49,49
29.77,54.44,17,49,49
29.77,54.44,17,49,48
28.17,63.59,22,48,47
28.1,62.52,22,47,47
26.8,63.95,21.5,47,47
25.5,65.38,21,47,46.5
25.38,65.7,20.5,46.5,46
25.25,66.03,20,46,46
25.79,64.53,20,46,46
25.79,64.53,20,46,47
24.01,65.69,19,47,46.5
23.7,65.79,18.5,46.5,46
23.39,65.89,18,46,46
24.05,63.58,18,46,46
24.01,63.4,17,46,46
22.64,64.66,17,46,46
22.96,62.44,17,46,44
21.67,61.91,16,44,45
22.08,61.69,16,45,45
22.08,61.69,16,45,45
22.08,61.69,16,45,45
22.08,61.69,16,45,47
34.82,44.9,22,47,49
35.03,44.6,23,49,48
33.01,56.81,24,48,49
36.24,52.21,25,49,49
35.33,53.75,26,49,47
31.79,58.85,26,47,46
29.35,57.6,25,46,46
28.1,57.76,25,46,46
28.1,57.76,25,46,44
25.91,58.85,22,44,44
25.99,58.49,21,44,44.5
25.08,58.95,20.5,44.5,45
24.18,59.41,20,45,44
23.66,58.9,19,44,43
23.15,58.4,18,43,41
22.7,58.29,18,41,42
23.05,59,17,42,42
23.31,58.53,17,42,43
22.7,58.58,17,43,42
22.43,58.55,17,42,42
22.43,58.55,17,42,42
26.51,57.31,16,42,43
27.59,56.22,16,43,45
29.89,54.49,19,45,46
32.48,48.34,21,46,44
33.12,47.01,21,44,44
33.12,47.01,21,44,44
33.12,47.01,21,44,46
31.06,54.36,24,46,45
31.25,50.84,24,45,43
29.48,52.28,23,43,44
26.95,54.87,23,44,44
26.95,54.87,23,44,43.5
25.84,55.49,22,43.5,43
24.73,56.11,21,43,42.5
23.62,56.72,20,42.5,42
22.52,57.34,19,42,41.5
21.63,57.28,18,41.5,41
20.74,57.22,17,41,41
20.43,57.16,16,41,40
20.7,56.2,15,40,40
20.26,57.28,15,40,40
20.16,57.19,14,40,40
18.65,59.86,14,40,39
20.67,57.58,14,39,39
25.5,56.37,14,39,41
30.32,51.57,15,41,45
35.39,45.11,18,45,44
37.66,39.94,21,44,47
31.14,60.32,23,47,46.75
31.19,60.01,22.94,46.75,46.5
31.24,59.7,22.88,46.5,46.25
31.29,59.39,22.82,46.25,46
31.34,59.08,22.76,46,45.75
31.39,58.77,22.7,45.75,45.5
31.44,58.46,22.64,45.5,45.25
31.49,58.15,22.58,45.25,45
31.54,57.84,22.52,45,44.75
31.59,57.53,22.46,44.75,44.5
31.64,57.22,22.4,44.5,44.25
31.69,56.91,22.34,44.25,44
31.74,56.6,22.28,44,43.75
31.79,56.29,22.22,43.75,43.5
31.84,55.98,22.16,43.5,43.25
31.89,55.66,22.1,43.25,43
31.94,55.35,22.04,43,42.75
31.99,55.04,21.98,42.75,42.5
32.04,54.72,21.92,42.5,42.25
32.09,54.4,21.86,42.25,42
32.14,54.09,21.8,42,41.75
32.19,53.78,21.74,41.75,41.5
32.24,53.46,21.68,41.5,41.25
32.29,53.14,21.62,41.25,41
32.34,52.83,21.56,41,40.75
32.39,52.52,21.49,40.75,40.5
32.44,52.2,21.43,40.5,40.25
32.49,51.89,21.36,40.25,40
32.54,51.57,21.3,40,39.75
32.59,51.26,21.24,39.75,39.5
32.64,50.94,21.17,39.5,39.25
32.69,50.62,21.1,39.25,39
32.74,50.31,21.04,39,38.75
32.79,50,20.98,38.75,38.5
32.83,49.68,20.91,38.5,38.25
32.88,49.36,20.84,38.25,38
32.92,49.05,20.78,38,37.75
32.97,48.74,20.72,37.75,37.5
33.01,48.42,20.65,37.5,37.25
33.06,48.1,20.58,37.25,37
33.1,47.79,20.52,37,36.75
33.15,47.48,20.45,36.75,36.5
33.19,47.16,20.39,36.5,36.25
33.24,46.84,20.32,36.25,36
33.28,46.53,20.26,36,35.75
33.33,46.22,20.2,35.75,35.5
33.37,45.9,20.13,35.5,35.25
33.42,45.58,20.06,35.25,35
33.46,45.27,20,35,35
33.46,45.27,20,35,35.5
30.92,53.34,21,35.5,36
28.37,61.42,22,36,36
27.86,61.32,21,36,37
26.95,63.38,21,37,37
26.66,62.3,20,37,36.78
26.42,62.22,19.67,36.78,36.56
26.18,62.14,19.34,36.56,36.34
25.94,62.06,19.01,36.34,36.12
25.7,61.98,18.68,36.12,35.9
25.46,61.89,18.34,35.9,35.67
25.22,61.8,18,35.67,35.45
24.97,61.72,17.67,35.45,35.22
24.72,61.64,17.34,35.22,35
24.48,61.55,17,35,35
23.29,60.88,17,35,35
22.1,60.21,17,35,37
21.75,59.8,16,37,36
22.69,59.37,16,36,35
25.4,57.06,16,35,35
27.88,53.99,17,35,35
30.37,50.92,18,35,36
33.73,46.34,19,36,39
36.26,41.69,22,39,37
32.14,54.42,23,37,37.5
31.01,56.1,23,37.5,38
29.88,57.77,23,38,37
29.58,57.98,23,37,37
29.58,57.98,23,37,38
27.64,61.04,22,38,38
26.67,61.14,22,38,37.88
26.08,60.84,21.38,37.88,37.75
25.49,60.54,20.75,37.75,37.62
24.9,60.24,20.12,37.62,37.5
24.31,59.95,19.5,37.5,37.38
23.72,59.66,18.88,37.38,37.25
23.13,59.36,18.25,37.25,37.12
22.54,59.06,17.62,37.12,37
21.95,58.77,17,37,37
21.82,58.42,16.5,37,37
21.68,58.08,16,37,36
20.55,58.04,16,36,36
20.55,58.04,16,36,37
25.29,56.42,15,37,37.02
25.2,56.44,15.05,37.02,37.04
25.11,56.46,15.1,37.04,37.06
25.02,56.48,15.15,37.06,37.08
24.93,56.5,15.2,37.08,37.1
24.84,56.52,15.25,37.1,37.12
24.75,56.54,15.3,37.12,37.14
24.66,56.56,15.35,37.14,37.16
24.57,56.58,15.4,37.16,37.18
