S,K,ST,KA,KASJS
29.55,55.78,23.5,59.88,58.75
29.11,56.21,23,58.75,57.62
28.67,56.64,22.5,57.62,56.5
28.23,57.06,22,56.5,55.38
27.78,57.48,21.5,55.38,54.25
27.34,57.91,21,54.25,53.12
26.9,58.33,20.5,53.12,52
26.45,58.76,20,52,52
26.14,58.69,19,52,54
26.7,58.87,19,54,55
27.11,58.85,19,55,52
28.56,58.06,19,52,55
30.15,56.4,20,55,55
33.51,51.83,21,55,59
34.12,50.04,23,59,59
34.49,49.13,24,59,60
35.59,47.37,25,60,61
32.43,51.88,25,61,61
32.97,51.74,24,61,57
34.79,49.15,24,57,61
33.58,48.98,25,61,59
31.28,53.24,24,59,58
30.05,55.1,24,58,59
29.5,56.29,23,59,58.44
29.22,56.55,22.67,58.44,57.88
28.94,56.81,22.34,57.88,57.33
28.66,57.07,22.01,57.33,56.78
28.38,57.33,21.68,56.78,56.22
28.1,57.59,21.34,56.22,55.66
27.82,57.86,21,55.66,55.11
27.54,58.12,20.67,55.11,54.56
27.26,58.38,20.34,54.56,54
26.99,58.65,20,54,51
26.94,58.36,20,51,55
26.95,58.74,20,55,53
28.16,58.09,20,53,56
30.38,55.31,20,56,55
34.42,49.1,21,55,50
35.09,46.08,23,50,48
34.64,45.77,24,48,48
30.56,51.68,24,48,48
30.52,56.87,23,48,50
31.35,52.99,23,50,47
32.25,52.32,23,47,48
30.97,53.1,23,48,48
30.34,53.79,23,48,49
28.72,55.4,22,49,46
27.5,56.44,22,46,45.94
27.4,56.3,21.88,45.94,45.88
27.3,56.17,21.75,45.88,45.82
27.2,56.04,21.62,45.82,45.76
27.1,55.9,21.5,45.76,45.7
27,55.76,21.38,45.7,45.64
26.9,55.63,21.25,45.64,45.58
26.8,55.5,21.12,45.58,45.52
26.7,55.36,21,45.52,45.46
26.6,55.22,20.88,45.46,45.4
26.5,55.09,20.75,45.4,45.34
26.4,54.96,20.62,45.34,45.28
26.3,54.82,20.5,45.28,45.22
26.2,54.68,20.38,45.22,45.16
26.1,54.55,20.25,45.16,45.1
26,54.42,20.12,45.1,45.04
25.9,54.28,20,45.04,44.98
25.8,54.14,19.88,44.98,44.91
25.7,54.01,19.75,44.91,44.84
25.6,53.88,19.62,44.84,44.78
25.5,53.74,19.5,44.78,44.72
25.4,53.6,19.38,44.72,44.65
25.3,53.47,19.25,44.65,44.58
25.2,53.34,19.12,44.58,44.52
25.1,53.2,19,44.52,44.46
25,53.07,18.88,44.46,44.39
24.9,52.93,18.75,44.39,44.32
